time [h]	EFH_8 [W]
933	4728.60
934	5013.60
935	344.40
936	366.50
937	375.50
938	513.20
939	676.00
940	821.00
941	7535.30
942	7690.80
943	7189.80
944	6969.10
945	6369.20
946	5795.30
947	5351.80
948	4489.30
949	4132.50
950	4129.90
951	4408.70
952	4770.00
953	4752.20
954	4424.70
955	4230.70
956	4737.50
957	4066.30
958	4286.60
959	268.30
960	286.90
961	301.60
962	309.10
963	308.70
964	381.40
965	7395.20
966	6966.70
967	5745.10
968	5310.30
969	4573.90
970	4253.20
971	3963.40
972	3690.20
973	3456.20
974	3449.20
975	3572.40
976	3987.20
977	4063.50
978	4051.60
979	3742.10
980	4270.80
981	3247.00
982	3106.50
983	185.50
984	204.50
985	215.20
986	222.40
987	233.20
988	246.50
989	6772.60
990	5514.60
991	4592.00
992	4379.50
993	3899.80
994	3542.00
995	3328.60
996	3085.50
997	3265.90
998	3416.30
999	3319.50
1000	3423.80
1001	3399.50
1002	3331.60
1003	3275.80
1004	3822.10
1005	3036.10
1006	3195.40
1007	202.60
1008	222.90
1009	225.00
1010	226.90
1011	230.40
1012	233.90
1013	6582.70
1014	5224.50
1015	4107.90
1016	3843.40
1017	3444.80
1018	3033.30
1019	2755.80
1020	2497.70
1021	2338.60
1022	2346.50
1023	2276.70
1024	2581.20
1025	2961.80
1026	3250.90
1027	3336.90
1028	3961.90
1029	3324.40
1030	3426.90
1031	205.10
1032	209.00
1033	209.70
1034	213.80
1035	223.60
1036	233.30
1037	6553.70
1038	5317.70
1039	4347.10
1040	3835.80
1041	3227.90
1042	2692.80
1043	2294.40
1044	2185.50
1045	2087.50
1046	1701.30
1047	1888.80
1048	2697.00
1049	3042.70
1050	2981.60
1051	3056.90
1052	3829.80
1053	3201.00
1054	3264.30
1055	202.90
1056	222.80
1057	239.80
1058	251.90
1059	256.30
1060	267.20
1061	6955.60
1062	5993.50
1063	4899.10
1064	3890.10
1065	3400.70
1066	2878.30
1067	1564.40
1068	1006.30
1069	758.50
1070	581.80
1071	840.70
1072	1755.40
1073	2630.20
1074	2904.70
1075	2899.40
1076	3556.20
1077	3005.40
1078	3310.20
1079	244.90
1080	275.50
1081	290.70
1082	306.30
1083	317.70
1084	379.40
1085	7392.60
1086	6914.90
1087	5712.20
1088	3878.30
1089	2265.30
1090	1354.70
1091	1059.40
1092	881.40
1093	531.10
1094	273.70
1095	277.40
1096	421.80
1097	903.30
1098	1335.80
1099	1624.90
1100	2647.40
1101	2281.80
1102	2709.00
1103	222.20
1104	252.60
1105	274.40
1106	292.90
1107	307.60
1108	319.60
1109	7145.80
1110	6490.70
1111	5313.90
1112	3396.90
1113	1730.50
1114	1243.00
1115	993.80
1116	750.70
1117	479.60
1118	261.20
1119	272.10
1120	404.50
1121	804.20
1122	1060.90
1123	1050.50
1124	1840.30
1125	1402.60
1126	1780.10
1127	173.90
1128	206.90
1129	229.00
1130	249.10
1131	266.30
1132	283.30
1133	6451.10
1134	5237.70
1135	4287.80
1136	3662.20
1137	2837.00
1138	2544.00
1139	2261.80
1140	2566.70
1141	2710.50
1142	2834.60
1143	3035.00
1144	3458.80
1145	3491.50
1146	3480.70
1147	3241.10
1148	3892.70
1149	3235.30
1150	3494.90
1151	244.40
1152	268.90
1153	286.80
1154	309.60
1155	324.60
1156	427.80
1157	7419.40
1158	6905.00
1159	5725.20
1160	5378.10
1161	4091.10
1162	3191.00
1163	2800.40
1164	2621.10
1165	3267.20
1166	3423.50
1167	3203.40
1168	3384.90
1169	3439.90
1170	3422.40
1171	3338.50
1172	3780.40
1173	3025.30
1174	3205.90
1175	202.00
1176	220.20
1177	226.30
1178	229.40
1179	237.60
1180	244.40
1181	6650.30
1182	5340.10
1183	4267.90
1184	3139.50
1185	2351.60
1186	2996.70
1187	3033.20
1188	2899.80
1189	3001.40
1190	3156.30
1191	3315.10
1192	3450.20
1193	3558.90
1194	3413.10
1195	3330.30
1196	3895.10
1197	3351.20
1198	3664.90
1199	226.60
1200	245.10
1201	256.20
1202	252.80
1203	264.10
1204	280.40
1205	7065.20
1206	6024.50
1207	4818.60
1208	4086.30
1209	3443.50
1210	2922.40
1211	2562.50
1212	2445.90
1213	2343.90
1214	2468.30
1215	3109.40
1216	3479.30
1217	3675.40
1218	3514.60
1219	3222.30
1220	3664.60
1221	2856.20
1222	2988.20
1223	190.20
1224	210.70
1225	231.20
1226	237.00
1227	238.20
1228	251.00
1229	6842.70
1230	5602.20
1231	4412.60
1232	3965.60
1233	3894.90
1234	3526.00
1235	3256.90
1236	3105.50
1237	3051.40
1238	3040.80
1239	3184.10
1240	3343.20
1241	3472.10
1242	3311.30
1243	3082.90
1244	3724.80
1245	3105.50
1246	3336.20
1247	208.90
1248	228.50
1249	243.70
1250	255.10
1251	260.60
1252	265.00
1253	7100.90
1254	6286.60
1255	4960.00
1256	3777.90
1257	2700.10
1258	2038.20
1259	1943.80
1260	1825.40
1261	2571.20
1262	3125.80
1263	3200.70
1264	3614.40
1265	3864.30
1266	3663.20
1267	3680.40
1268	4304.40
1269	3555.20
1270	3775.00
1271	248.20
1272	263.90
1273	278.00
1274	297.70
1275	309.00
1276	308.70
1277	7287.90
1278	6671.90
1279	5543.80
1280	4296.60
1281	2896.10
1282	2269.70
1283	2001.20
1284	2086.50
1285	2300.40
1286	2159.30
1287	2434.00
1288	3211.50
1289	3854.70
1290	3957.10
1291	3958.20
1292	4644.10
1293	4213.30
1294	4478.70
1295	315.00
1296	348.90
1297	371.00
1298	464.50
1299	629.00
1300	776.60
1301	7534.20
1302	7671.40
1303	7080.80
1304	6394.80
1305	5297.90
1306	4073.70
1307	3087.90
1308	2275.50
1309	1788.00
1310	1575.30
1311	1903.50
1312	3129.90
1313	4257.70
1314	4637.60
1315	4566.60
1316	5239.60
1317	4785.90
1318	5105.30
1319	376.30
1320	397.30
1321	464.90
1322	695.40
1323	874.20
1324	1129.00
1325	7577.10
1326	7693.90
1327	7365.60
1328	7026.80
1329	5853.60
1330	5001.00
1331	4042.00
1332	3631.10
1333	3421.80
1334	2860.60
1335	2664.90
1336	3313.00
1337	4051.00
1338	4348.60
1339	4791.00
1340	5765.70
1341	5619.60
1342	5768.80
1343	355.50
1344	316.70
1345	282.00
1346	271.10
1347	272.00
1348	278.70
1349	7208.60
1350	6437.80
1351	5108.60
1352	4578.80
1353	3400.90
1354	2183.30
1355	1460.10
1356	1356.50
1357	1940.90
1358	2406.60
1359	2432.50
1360	3093.70
1361	3652.90
1362	3662.70
1363	3435.40
1364	4029.10
1365	3395.20
1366	3563.40
1367	228.00
1368	246.00
1369	275.50
1370	282.30
1371	279.80
1372	284.20
1373	7169.80
1374	6423.40
1375	5048.60
1376	3669.30
1377	2211.00
1378	1840.30
1379	1552.40
1380	1682.90
1381	1758.90
1382	2055.50
1383	2468.20
1384	2623.70
1385	3261.80
1386	3470.70
1387	3514.00
1388	4180.30
1389	3541.40
1390	3841.40
1391	267.60
1392	289.20
1393	302.50
1394	310.60
1395	310.90
1396	319.70
1397	7310.50
1398	6553.70
1399	5145.40
1400	4716.10
1401	4205.60
1402	3790.30
1403	3380.70
1404	3096.20
1405	3017.00
1406	2920.70
1407	3009.60
1408	3173.00
1409	3259.70
1410	3088.10
1411	2848.60
1412	3410.50
1413	2781.00
1414	2968.20
1415	176.80
1416	204.80
1417	215.30
1418	222.20
1419	230.10
1420	238.70
1421	6553.10
1422	5220.40
1423	4096.50
1424	3749.10
1425	3353.60
1426	3044.00
1427	2824.20
1428	2642.20
1429	2570.50
1430	2685.60
1431	2501.40
1432	2687.30
1433	2997.00
1434	2817.50
1435	2637.40
1436	3372.10
1437	2665.40
1438	2821.00
1439	179.50
1440	207.60
1441	225.90
1442	236.10
1443	254.10
1444	271.60
1445	6976.10
1446	5751.90
1447	4178.20
1448	3119.60
1449	2439.00
1450	1915.60
1451	1311.60
1452	990.00
1453	852.20
1454	951.50
1455	1382.80
1456	2617.80
1457	3413.70
1458	3542.30
1459	3620.40
1460	4209.40
1461	3575.20
1462	3807.70
1463	263.60
1464	281.50
1465	290.40
1466	295.20
1467	304.30
1468	299.00
1469	7157.00
1470	6319.80
1471	4866.10
1472	3886.50
1473	2774.80
1474	2144.50
1475	2241.70
1476	1508.60
1477	788.20
1478	830.30
1479	1248.10
1480	2447.80
1481	3214.10
1482	3414.30
1483	3305.50
1484	4024.80
1485	3504.60
1486	3838.30
1487	271.60
1488	297.30
1489	317.70
1490	332.40
1491	389.90
1492	566.30
1493	7493.80
1494	7376.30
1495	6112.70
1496	4860.70
1497	3785.70
1498	2051.50
1499	1426.70
1500	1765.50
1501	2188.00
1502	2284.80
1503	1783.00
1504	2144.70
1505	3133.00
1506	3457.80
1507	3695.40
1508	4472.50
1509	4056.40
1510	4409.40
1511	306.90
1512	323.90
1513	340.50
1514	370.60
1515	540.70
1516	672.20
1517	7521.20
1518	7610.50
1519	6496.20
1520	5335.80
1521	4424.90
1522	3832.60
1523	3398.20
1524	3093.20
1525	2842.20
1526	2793.10
1527	3385.40
1528	4046.20
1529	4724.30
1530	4907.80
1531	4922.10
1532	5336.10
1533	4644.60
1534	4701.20
1535	311.40
1536	329.60
1537	329.90
1538	332.60
1539	370.60
1540	488.30
1541	7467.90
1542	7182.30
1543	5811.20
1544	5212.60
1545	4008.40
1546	3194.60
1547	2251.70
1548	1500.40
1549	1427.10
1550	1262.40
1551	1899.90
1552	2781.30
1553	3434.70
1554	3443.40
1555	3364.20
1556	4232.30
1557	3707.90
1558	4075.90
1559	288.20
1560	314.70
1561	330.70
1562	338.40
1563	369.50
1564	492.80
1565	7462.60
1566	7296.30
1567	5655.80
1568	4496.30
1569	2961.30
1570	1430.60
1571	1115.50
1572	1057.70
1573	796.60
1574	620.50
1575	909.50
1576	1691.90
1577	3026.80
1578	3373.80
1579	3398.80
1580	4114.90
1581	3585.90
1582	3888.70
1583	274.90
1584	294.60
1585	309.10
1586	322.50
1587	340.20
1588	478.10
1589	7475.90
1590	7272.60
1591	5358.10
1592	3233.50
1593	2061.00
1594	1438.50
1595	1238.40
1596	1129.70
1597	963.50
1598	713.60
1599	785.90
1600	1680.20
1601	2998.00
1602	3431.00
1603	3379.40
1604	4025.50
1605	3578.20
1606	3888.60
1607	289.90
1608	307.30
1609	336.60
1610	354.90
1611	385.30
1612	546.90
1613	7460.50
1614	7252.40
1615	5414.10
1616	3023.30
1617	1790.60
1618	1394.30
1619	1271.70
1620	1031.70
1621	711.10
1622	398.50
1623	353.60
1624	499.60
1625	1152.90
1626	1873.10
1627	2340.10
1628	3277.50
1629	2952.90
1630	3469.70
1631	291.20
1632	311.40
1633	328.70
1634	360.30
1635	380.40
1636	495.30
1637	7399.60
1638	7160.20
1639	5433.60
1640	3598.60
1641	2188.90
1642	2269.00
1643	2211.50
1644	1973.50
1645	1048.60
1646	738.20
1647	1066.50
1648	2175.30
1649	2854.10
1650	3012.50
1651	2760.40
1652	3261.60
1653	2652.10
1654	2856.50
1655	182.50
1656	199.90
1657	209.30
1658	213.20
1659	214.30
1660	229.90
1661	6204.40
1662	4869.00
1663	3809.60
1664	3384.00
1665	2162.10
1666	706.00
1667	499.60
1668	290.10
1669	163.20
1670	114.70
1671	161.40
1672	344.30
1673	767.50
1674	1075.00
1675	1347.70
1676	2351.80
1677	1924.00
1678	2349.10
1679	204.80
1680	241.90
1681	265.70
1682	267.00
1683	271.60
1684	281.40
1685	6562.60
1686	5320.20
1687	3855.40
1688	2894.30
1689	1620.70
1690	1117.70
1691	400.70
1692	173.90
1693	59.10
1694	0.00
1695	24.70
1696	175.40
1697	387.30
1698	748.30
1699	903.50
1700	1768.20
1701	1352.70
1702	1766.80
1703	164.40
1704	194.10
1705	212.60
1706	228.20
1707	248.20
1708	262.70
1709	6213.30
1710	5178.40
1711	3258.80
1712	1364.10
1713	618.90
1714	381.50
1715	194.00
1716	97.40
1717	34.70
1718	0.00
1719	0.00
1720	10.60
1721	218.40
1722	486.00
1723	551.40
1724	1270.80
1725	798.00
1726	1118.30
1727	147.90
1728	187.10
1729	211.90
1730	228.70
1731	236.20
1732	237.80
1733	5598.80
1734	4751.60
1735	2923.30
1736	1337.40
1737	697.00
1738	469.80
1739	294.80
1740	135.60
1741	39.40
1742	0.20
1743	0.00
1744	12.90
1745	124.80
1746	326.90
1747	478.10
1748	1124.90
1749	685.10
1750	858.30
1751	133.30
1752	168.80
