Time [h]	ConstructionInstance(id=2).FluxShortWaveRadiationA [W]	ConstructionInstance(id=11).FluxShortWaveRadiationA [W]	ConstructionInstance(id=2).FluxShortWaveRadiationB [W]	ConstructionInstance(id=11).FluxShortWaveRadiationB [W]	ConstructionInstance(id=2).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxA [W/m2]	ConstructionInstance(id=2).SolarRadiationFluxB [W/m2]	ConstructionInstance(id=11).SolarRadiationFluxB [W/m2]
4003.5	23.2018	3.86697	64.9652	10.8275	0	0	10.8275	10.8275
4004	11.0824	1.84707	31.0308	5.17179	0	0	5.17179	5.17179
4004.5	0	0	0	0	0	0	0	0
4005	0	0	0	0	0	0	0	0
4005.5	0	0	0	0	0	0	0	0
4006	0	0	0	0	0	0	0	0
4006.5	0	0	0	0	0	0	0	0
4007	0	0	0	0	0	0	0	0
4007.5	0	0	0	0	0	0	0	0
4008	0	0	0	0	0	0	0	0
4008.5	0	0	0	0	0	0	0	0
4009	0	0	0	0	0	0	0	0
4009.5	0	0	0	0	0	0	0	0
4010	0	0	0	0	0	0	0	0
4010.5	0	0	0	0	0	0	0	0
4011	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
4011.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
4012	17.3599	2.89332	48.6077	8.10128	0	0	8.10128	8.10128
4012.5	32.7475	5.45792	91.693	15.2822	0	0	15.2822	15.2822
4013	38.1554	6.35923	106.835	17.8058	0	0	17.8058	17.8058
4013.5	43.2	7.2	120.96	20.16	0	0	20.16	20.16
4014	74.3891	12.3982	208.29	34.7149	0	0	34.7149	34.7149
4014.5	105.753	17.6255	296.109	49.3514	0	0	49.3514	49.3514
4015	153.151	25.5252	428.824	71.4707	0	0	71.4707	71.4707
4015.5	200.601	33.4334	561.682	93.6136	0	0	93.6136	93.6136
4016	163.011	27.1685	456.432	76.0719	0	0	76.0719	76.0719
4016.5	123.057	20.5095	344.56	57.4266	0	0	57.4266	57.4266
4017	130.017	21.6694	364.046	60.6744	0	0	60.6744	60.6744
4017.5	136.93	22.8216	383.404	63.9006	0	0	63.9006	63.9006
4018	180.287	30.0478	504.804	84.1339	0	0	84.1339	84.1339
4018.5	223.895	37.3158	626.905	104.484	0	0	104.484	104.484
4019	199.625	33.2708	558.949	93.1582	0	0	93.1582	93.1582
4019.5	175.209	29.2015	490.584	81.7641	0	0	81.7641	81.7641
4020	142.604	23.7674	399.292	66.5487	0	0	66.5487	66.5487
4020.5	109.855	18.3091	307.593	51.2656	0	0	51.2656	51.2656
4021	124.754	20.7923	349.31	58.2183	0	0	58.2183	58.2183
4021.5	139.537	23.2561	390.703	65.1171	0	0	65.1171	65.1171
4022	187.446	31.241	524.849	87.4748	0	0	87.4748	87.4748
4022.5	234.707	39.1178	657.178	109.53	0	0	109.53	109.53
4023	257.267	42.8779	720.348	120.058	0	0	120.058	120.058
4023.5	273.327	45.5545	765.315	127.552	0	0	127.552	127.552
4024	175.908	29.3179	492.542	82.0903	0	0	82.0903	82.0903
4024.5	86.4198	14.4033	241.975	40.3292	0	0	40.3292	40.3292
4025	70.167	11.6945	196.468	32.7446	0	0	32.7446	32.7446
4025.5	54.1661	9.02768	151.665	25.2775	0	0	25.2775	25.2775
4026	35.4818	5.91363	99.349	16.5582	0	0	16.5582	16.5582
4026.5	16.9714	2.82857	47.52	7.92	0	0	7.92	7.92
4027	13.3876	2.23126	37.4852	6.24753	0	0	6.24753	6.24753
4027.5	9.27321	1.54554	25.965	4.3275	0	0	4.3275	4.3275
4028	4.38395	0.730659	12.2751	2.04585	0	0	2.04585	2.04585
4028.5	0	0	0	0	0	0	0	0
4029	0	0	0	0	0	0	0	0
4029.5	0	0	0	0	0	0	0	0
4030	0	0	0	0	0	0	0	0
4030.5	0	0	0	0	0	0	0	0
4031	0	0	0	0	0	0	0	0
4031.5	0	0	0	0	0	0	0	0
4032	0	0	0	0	0	0	0	0
4032.5	0	0	0	0	0	0	0	0
4033	0	0	0	0	0	0	0	0
4033.5	0	0	0	0	0	0	0	0
4034	0	0	0	0	0	0	0	0
4034.5	0	0	0	0	0	0	0	0
4035	1.15714	0.192857	3.24	0.54	0	0	0.54	0.54
4035.5	2.31429	0.385714	6.48	1.08	0	0	1.08	1.08
4036	13.1143	2.18572	36.72	6.12	0	0	6.12	6.12
4036.5	23.9143	3.98572	66.96	11.16	0	0	11.16	11.16
4037	42.1317	7.02194	117.969	19.6614	0	0	19.6614	19.6614
4037.5	60.4435	10.0739	169.242	28.207	0	0	28.207	28.207
4038	97.5786	16.2631	273.22	45.5367	0	0	45.5367	45.5367
4038.5	136.141	22.6902	381.196	63.5326	0	0	63.5326	63.5326
4039	158.94	26.4899	445.031	74.1718	0	0	74.1718	74.1718
4039.5	185.938	30.9897	520.628	86.7713	0	0	86.7713	86.7713
4040	236.688	39.448	662.727	110.454	0	0	110.454	110.454
4040.5	302.876	50.4793	848.052	141.342	0	0	141.342	141.342
4041	394.463	65.7438	1104.5	184.083	0	0	184.083	184.083
