Time [h]	ConstructionInstance(id=2).SurfaceTemperatureA [C]	ConstructionInstance(id=11).SurfaceTemperatureA [C]	ConstructionInstance(id=2).SurfaceTemperatureB [C]	ConstructionInstance(id=11).SurfaceTemperatureB [C]
3979	92.401	92.401	34.5702	34.5702
3979.5	82.3816	82.3816	33.7824	33.7824
3980	73.1434	73.1434	32.9957	32.9957
3980.5	64.8121	64.8121	32.225	32.225
3981	57.7164	57.7164	31.532	31.532
3981.5	51.8579	51.8579	30.9463	30.9463
3982	47.0366	47.0366	30.4282	30.4282
3982.5	43.0771	43.0771	29.956	29.956
3983	39.8099	39.8099	29.5097	29.5097
3983.5	37.1044	37.1044	29.0908	29.0908
3984	34.8545	34.8545	28.6891	28.6891
3984.5	32.9774	32.9774	28.3105	28.3105
3985	31.4049	31.4049	27.9473	27.9473
3985.5	30.077	30.077	27.593	27.593
3986	28.9462	28.9462	27.2449	27.2449
3986.5	27.9852	27.9852	26.9224	26.9224
3987	27.2131	27.2131	26.628	26.628
3987.5	26.6117	26.6117	26.3307	26.3307
3988	26.7074	26.7074	26.1505	26.1505
3988.5	27.7941	27.7941	26.0937	26.0937
3989	29.6177	29.6177	26.0997	26.0997
3989.5	32.0913	32.0913	26.2051	26.2051
3990	35.1683	35.1683	26.3907	26.3907
3990.5	38.8845	38.8845	26.7739	26.7739
3991	42.9466	42.9466	27.2478	27.2478
3991.5	47.178	47.178	27.8284	27.8284
3992	54.4119	54.4119	29.0889	29.0889
3992.5	65.8908	65.8908	30.7517	30.7517
3993	80.4076	80.4076	32.5991	32.5991
3993.5	97.1319	97.1319	34.5261	34.5261
3994	115.065	115.065	36.4282	36.4282
3994.5	133.272	133.272	38.3089	38.3089
3995	151.162	151.162	40.1384	40.1384
3995.5	168.132	168.132	41.7977	41.7977
3996	182.639	182.639	43.0605	43.0605
3996.5	193.733	193.733	43.9778	43.9778
3997	200.318	200.318	44.3795	44.3795
3997.5	202.009	202.009	44.3408	44.3408
3998	195.385	195.385	43.1408	43.1408
3998.5	180.54	180.54	41.2698	41.2698
3999	166.704	166.704	40.3969	40.3969
3999.5	157.403	157.403	40.2484	40.2484
4000	149.518	149.518	40.0601	40.0601
4000.5	140.397	140.397	39.4667	39.4667
4001	129.06	129.06	38.5259	38.5259
4001.5	117.567	117.567	37.6555	37.6555
4002	106.579	106.579	36.8471	36.8471
4002.5	96.2958	96.2958	36.1011	36.1011
4003	86.6951	86.6951	35.3961	35.3961
4003.5	77.6228	77.6228	34.6419	34.6419
4004	69.2614	69.2614	33.9108	33.9108
4004.5	61.744	61.744	33.1892	33.1892
4005	55.3359	55.3359	32.5471	32.5471
4005.5	50.1087	50.1087	31.9939	31.9939
4006	45.8168	45.8168	31.4859	31.4859
4006.5	42.2691	42.2691	30.9985	30.9985
4007	39.3178	39.3178	30.5216	30.5216
4007.5	36.8593	36.8593	30.0775	30.0775
4008	34.8063	34.8063	29.6548	29.6548
4008.5	33.0857	33.0857	29.2566	29.2566
4009	31.637	31.637	28.8747	28.8747
4009.5	30.4246	30.4246	28.5374	28.5374
4010	29.4143	29.4143	28.2318	28.2318
4010.5	28.5589	28.5589	27.9312	27.9312
4011	27.8689	27.8689	27.6442	27.6442
4011.5	27.3352	27.3352	27.3562	27.3562
4012	27.4598	27.4598	27.1812	27.1812
4012.5	28.4905	28.4905	27.1131	27.1131
4013	29.8547	29.8547	27.0288	27.0288
4013.5	31.2204	31.2204	26.9494	26.9494
4014	33.6202	33.6202	27.1001	27.1001
4014.5	37.5907	37.5907	27.5309	27.5309
4015	43.434	43.434	28.27	28.27
4015.5	51.169	51.169	29.1922	29.1922
4016	57.0972	57.0972	29.5463	29.5463
4016.5	59.2457	59.2457	29.3796	29.3796
4017	60.2609	60.2609	29.3218	29.3218
4017.5	61.6094	61.6094	29.3574	29.3574
4018	64.5354	64.5354	29.711	29.711
4018.5	69.7037	69.7037	30.388	30.388
4019	73.9984	73.9984	30.7064	30.7064
4019.5	75.7971	75.7971	30.6762	30.6762
4020	75.3908	75.3908	30.405	30.405
4020.5	73.0134	73.0134	29.953	29.953
4021	70.9102	70.9102	29.7692	29.7692
4021.5	70.2563	70.2563	29.8087	29.8087
4022	71.9564	71.9564	30.2246	30.2246
4022.5	76.3625	76.3625	30.9266	30.9266
4023	81.9323	81.9323	31.6023	31.6023
4023.5	87.5651	87.5651	32.2865	32.2865
4024	88.6794	88.6794	32.0727	32.0727
4024.5	83.6212	83.6212	31.1816	31.1816
4025	76.9046	76.9046	30.5273	30.5273
4025.5	70.6855	70.6855	29.9897	29.9897
4026	64.5816	64.5816	29.4297	29.4297
4026.5	58.5058	58.5058	28.9006	28.9006
4027	53.0543	53.0543	28.5092	28.5092
4027.5	48.4423	48.4423	28.1747	28.1747
4028	44.4117	44.4117	27.8519	27.8519
4028.5	40.8337	40.8337	27.5119	27.5119
4029	37.7936	37.7936	27.1931	27.1931
4029.5	35.2649	35.2649	26.8328	26.8328
4030	33.1181	33.1181	26.4364	26.4364
4030.5	31.3168	31.3168	26.0952	26.0952
4031	29.8184	29.8184	25.7909	25.7909
4031.5	28.5718	28.5718	25.5221	25.5221
4032	27.534	27.534	25.276	25.276
4032.5	26.6169	26.6169	24.9519	24.9519
4033	25.7662	25.7662	24.5716	24.5716
4033.5	24.9647	24.9647	24.1485	24.1485
4034	24.1984	24.1984	23.6947	23.6947
4034.5	23.4786	23.4786	23.2543	23.2543
4035	22.8528	22.8528	22.8307	22.8307
4035.5	22.3377	22.3377	22.4268	22.4268
4036	22.2873	22.2873	22.1123	22.1123
4036.5	22.8833	22.8833	21.9143	21.9143
4037	24.2832	24.2832	21.8491	21.8491
4037.5	26.5104	26.5104	21.8587	21.8587
4038	30.1075	30.1075	22.0685	22.0685
4038.5	35.3797	35.3797	22.5016	22.5016
4039	41.3887	41.3887	22.9493	22.9493
4039.5	47.8049	47.8049	23.526	23.526
4040	55.5282	55.5282	24.3971	24.3971
4040.5	65.698	65.698	25.6346	25.6346
4041	79.1439	79.1439	27.3201	27.3201
4041.5	95.8137	95.8137	29.2999	29.2999
4042	114.486	114.486	31.3654	31.3654
4042.5	133.926	133.926	33.4334	33.4334
4043	152.731	152.731	35.3287	35.3287
4043.5	169.735	169.735	36.9509	36.9509
4044	185.067	185.067	38.4546	38.4546
4044.5	198.617	198.617	39.8143	39.8143
4045	209.121	209.121	40.8245	40.8245
4045.5	215.803	215.803	41.4634	41.4634
4046	218.297	218.297	41.7105	41.7105
4046.5	216.456	216.456	41.5779	41.5779
4047	210.472	210.472	41.1116	41.1116
4047.5	200.375	200.375	40.243	40.243
4048	186.248	186.248	39.004	39.004
4048.5	168.357	168.357	37.4716	37.4716
4049	147.97	147.97	35.9319	35.9319
4049.5	130.608	130.608	35.0301	35.0301
4050	115.828	115.828	34.2804	34.2804
4050.5	102.875	102.875	33.5434	33.5434
4051	91.4337	91.4337	32.813	32.813
4051.5	81.2364	81.2364	32.0933	32.0933
4052	71.8797	71.8797	31.3384	31.3384
4052.5	63.4331	63.4331	30.6044	30.6044
4053	56.2842	56.2842	29.9556	29.9556
4053.5	50.3654	50.3654	29.3534	29.3534
4054	45.4589	45.4589	28.7773	28.7773
4054.5	41.3824	41.3824	28.1981	28.1981
4055	37.9644	37.9644	27.6106	27.6106
4055.5	35.1141	35.1141	27.0919	27.0919
4056	32.7455	32.7455	26.619	26.619
4056.5	30.7511	30.7511	26.1457	26.1457
4057	29.0503	29.0503	25.6699	25.6699
4057.5	27.6038	27.6038	25.2291	25.2291
4058	26.3739	26.3739	24.8129	24.8129
4058.5	25.2961	25.2961	24.368	24.368
4059	24.3718	24.3718	23.9118	23.9118
4059.5	23.6233	23.6233	23.4953	23.4953
4060	23.3579	23.3579	23.1757	23.1757
4060.5	23.8102	23.8102	23.0066	23.0066
4061	24.9328	24.9328	22.9448	22.9448
4061.5	26.731	26.731	22.9994	22.9994
4062	29.088	29.088	23.1275	23.1275
4062.5	31.9584	31.9584	23.4364	23.4364
4063	35.2022	35.2022	23.8565	23.8565
4063.5	38.7186	38.7186	24.4031	24.4031
4064	45.6169	45.6169	25.7138	25.7138
4064.5	57.5992	57.5992	27.517	27.517
4065	73.6418	73.6418	29.6206	29.6206
4065.5	92.0042	92.0042	31.6756	31.6756
4066	110.203	110.203	33.4089	33.4089
4066.5	126.012	126.012	34.7519	34.7519
4067	141.974	141.974	36.4776	36.4776
4067.5	160.799	160.799	38.6882	38.6882
4068	177.511	177.511	40.2227	40.2227
4068.5	188.869	188.869	41.1177	41.1177
4069	195.444	195.444	41.6128	41.6128
4069.5	197.832	197.832	41.7699	41.7699
4070	195.056	195.056	41.3371	41.3371
4070.5	187.1	187.1	40.4634	40.4634
4071	175.93	175.93	39.4756	39.4756
4071.5	163.254	163.254	38.5493	38.5493
4072	152.497	152.497	38.1966	38.1966
4072.5	143.056	143.056	37.8473	37.8473
4073	131.661	131.661	37.0803	37.0803
4073.5	120.055	120.055	36.3944	36.3944
4074	108.791	108.791	35.7394	35.7394
4074.5	97.8933	97.8933	34.9715	34.9715
4075	87.7314	87.7314	34.2087	34.2087
4075.5	78.5212	78.5212	33.4823	33.4823
4076	69.9824	69.9824	32.7423	32.7423
4076.5	62.217	62.217	32.0077	32.0077
4077	55.6049	55.6049	31.3437	31.3437
4077.5	50.1249	50.1249	30.7543	30.7543
4078	45.5895	45.5895	30.2108	30.2108
4078.5	41.8431	41.8431	29.7017	29.7017
4079	38.7307	38.7307	29.2107	29.2107
4079.5	36.1118	36.1118	28.6993	28.6993
4080	33.8796	33.8796	28.1708	28.1708
